0 0   92 151 113
11 15   175 149 140
11 16   134 113 127
11 17   133 96 133
11 18   178 144 110
11 19   198 130 90
11 20   117 141 113
11 21   148 160 97
11 22   90 138 47
11 23   103 156 78
11 24   171 188 216
11 25   184 192 214
11 26   192 170 176
11 27   95 82 87
12 0   175 158 82
12 1   182 132 33
12 2   127 136 170
12 3   117 128 146
12 4   185 115 61
12 5   159 92 45
12 6   153 136 85
12 7   143 122 104
12 8   180 111 74
12 9   136 148 80
12 10   115 105 100
12 11   113 102 109
12 12   150 144 127
12 13   171 130 119
12 14   183 183 183
12 15   125 164 103
12 16   99 99 143
12 17   114 95 106
12 18   120 115 100
12 19   123 113 101
12 20   99 134 74
12 21   156 139 156
12 22   157 160 170
12 23   91 133 157
12 24   145 109 91
12 25   136 139 157
12 26   148 154 164
12 27   153 168 194
13 0   119 152 188
13 1   93 102 138
13 2   129 138 119
13 3   195 119 155
13 4   158 136 114
13 5   221 153 119
13 6   127 144 168
13 7   166 162 155
13 8   121 135 137
13 9   65 98 150
13 10   90 127 184
13 11   82 115 167
13 12   183 151 112
13 13   148 154 191
13 14   155 148 146
13 15   184 111 130
13 16   115 128 169
13 17   88 99 155
13 18   140 79 86
13 19   94 126 94
13 20   171 166 105
13 21   139 92 86
13 22   143 150 78
13 23   132 144 75
13 24   104 139 86
13 25   196 130 78
13 26   165 123 75
13 27   171 123 91
14 0   103 143 175
14 1   99 131 162
14 2   75 97 129
14 3   124 111 105
14 4   102 88 88
14 5   121 101 104
14 6   149 109 61
14 7   139 108 73
14 8   136 103 75
14 9   121 68 53
14 10   102 119 147
14 11   83 91 110
14 12   66 69 85
14 13   115 148 65
14 14   125 135 135
14 15   101 123 149
14 16   96 109 122
14 17   119 108 97
14 18   104 97 95
14 19   70 87 61
14 20   85 103 78
14 21   170 129 78
14 22   162 135 54
14 23   124 92 34
14 24   167 175 189
14 25   171 120 60
14 26   175 134 74
14 27   118 91 91
15 0   103 81 108
15 1   172 120 135
15 2   148 98 95
15 3   148 100 131
15 4   131 109 138
15 5   139 109 133
15 6   160 124 88
15 7   165 135 99
15 8   91 61 108
15 9   82 82 105
15 10   102 102 137
15 11   127 127 161
15 12   163 122 81
15 13   110 91 110
15 14   121 98 117
15 15   36 103 121
15 16   57 122 142
15 17   109 121 66
15 18   122 95 143
15 19   196 145 167
15 20   89 89 103
15 21   146 116 130
15 22   90 121 133
15 23   85 94 133
15 24   101 89 127
15 25   71 112 112
15 26   54 85 115
15 27   72 97 114
16 0   155 132 76
16 1   152 125 96
16 2   87 96 142
16 3   107 75 117
16 4   93 88 124
16 5   94 78 122
16 6   108 111 65
16 7   94 102 131
16 8   78 105 122
16 9   81 123 173
16 10   158 164 154
16 11   168 192 193
16 12   138 81 123
16 13   111 116 138
16 14   204 115 127
16 15   116 82 81
16 16   52 85 123
16 17   132 114 44
16 18   182 100 61
16 19   177 180 203
16 20   138 111 84
16 21   117 133 97
16 22   85 119 140
16 23   90 83 125
16 24   148 130 122
16 25   114 100 134
16 26   109 133 125
16 27   121 78 113
17 0   100 88 74
17 1   156 147 165
17 2   121 159 153
17 3   147 130 119
17 4   150 110 140
17 5   109 121 151
17 6   100 129 156
17 7   179 159 187
17 8   134 113 106
17 9   154 165 122
17 10   137 111 76
17 11   158 119 144
17 12   65 142 183
17 13   82 146 178
17 14   83 71 85
17 15   150 165 112
17 16   158 156 125
17 17   0 0 0
17 18   0 0 0
17 19   0 0 0
17 20   0 0 0
17 21   0 0 0
17 22   0 0 0
17 23   0 0 0
17 24   0 0 0
17 25   0 0 0
17 26   0 0 0
17 27   0 0 0
# 80 80
